time,lat,lon
2024-07-11T09:59:05.97604772Z,{"lat":10.74353499235224,"lon":106.63071633003598}
2024-07-11T09:59:06.982257332Z,{"lat":10.743536592920458,"lon":106.6307172220733}
2024-07-11T09:59:08.002029366Z,{"lat":10.743449949669412,"lon":106.63076064559317}
2024-07-11T09:59:09.003413336Z,{"lat":10.743445381532183,"lon":106.63076617764926}
2024-07-11T09:59:10.091682895Z,{"lat":10.743433646867743,"lon":106.63074119957781}
2024-07-11T09:59:11.033079549Z,{"lat":10.743424049588612,"lon":106.63073591897881}
2024-07-11T09:59:12.073397391Z,{"lat":10.74341717642801,"lon":106.63073038692272}
2024-07-11T09:59:13.059918882Z,{"lat":10.743412398743203,"lon":106.63072544159985}
2024-07-11T09:59:14.073131633Z,{"lat":10.743407788696459,"lon":106.63072778853274}
2024-07-11T09:59:15.109386783Z,{"lat":10.743402172821334,"lon":106.63073332058883}
2024-07-11T09:59:16.121329408Z,{"lat":10.743398023779264,"lon":106.63073918792105}
2024-07-11T09:59:17.139280837Z,{"lat":10.743394587198964,"lon":106.63074471997714}
2024-07-11T09:59:18.161581567Z,{"lat":10.743391024890116,"lon":106.6307501682142}
2024-07-11T09:59:19.181612918Z,{"lat":10.74338633102434,"lon":106.63075226369}
2024-07-11T09:59:20.192805477Z,{"lat":10.74338167906808,"lon":106.63075477826095}
2024-07-11T09:59:21.202019145Z,{"lat":10.743375937464407,"lon":106.63076148378349}
2024-07-11T09:59:22.213203439Z,{"lat":10.743370866412988,"lon":106.63076877603925}
2024-07-11T09:59:23.233167949Z,{"lat":10.743363699885776,"lon":106.63078336055077}
2024-07-11T09:59:24.243292316Z,{"lat":10.743361562500468,"lon":106.63078981461621}
2024-07-11T09:59:25.281059558Z,{"lat":10.743360263305476,"lon":106.63079241300619}
2024-07-11T09:59:26.283246201Z,{"lat":10.743359173658064,"lon":106.63080096254743}
2024-07-11T09:59:27.303128318Z,{"lat":10.743357958282104,"lon":106.6308141221354}
2024-07-11T09:59:28.321203923Z,{"lat":10.743356198082438,"lon":106.63082719790435}
2024-07-11T09:59:29.314327483Z,{"lat":10.743353180597296,"lon":106.63084010603524}
2024-07-11T09:59:30.344426767Z,{"lat":10.743350456478765,"lon":106.63085108632839}
2024-07-11T09:59:31.343526599Z,{"lat":10.743348193364909,"lon":106.63085988732672}
2024-07-11T09:59:32.363599685Z,{"lat":10.743344756784609,"lon":106.63086793395377}
2024-07-11T09:59:33.393554202Z,{"lat":10.743341487842372,"lon":106.63087707022822}
2024-07-11T09:59:34.412062743Z,{"lat":10.743337883624008,"lon":106.63088687705493}
2024-07-11T09:59:35.403194778Z,{"lat":10.743333566943875,"lon":106.63090070719517}
2024-07-11T09:59:36.403325887Z,{"lat":10.743327364335528,"lon":106.63091554316378}
2024-07-11T09:59:37.413198266Z,{"lat":10.743320407355895,"lon":106.63092794838047}
2024-07-11T09:59:38.421578223Z,{"lat":10.743311690176597,"lon":106.63094052123523}
2024-07-11T09:59:39.433807569Z,{"lat":10.74330355973052,"lon":106.63095678212738}
2024-07-11T09:59:40.433953133Z,{"lat":10.743296644660404,"lon":106.63097329447663}
2024-07-11T09:59:41.451239198Z,{"lat":10.743293669084778,"lon":106.63098913627363}
2024-07-11T09:59:42.45508868Z,{"lat":10.743290777328184,"lon":106.63100556480384}
2024-07-11T09:59:43.481308308Z,{"lat":10.743290148685446,"lon":106.6310250108192}
2024-07-11T09:59:44.48349686Z,{"lat":10.74328859803336,"lon":106.63104303191102}
2024-07-11T09:59:45.484368929Z,{"lat":10.743287005471757,"lon":106.63106222646928}
2024-07-11T09:59:46.483618684Z,{"lat":10.743285203362575,"lon":106.631079996104}
2024-07-11T09:59:47.49729778Z,{"lat":10.743282982158235,"lon":106.63109349096811}
2024-07-11T09:59:48.495462485Z,{"lat":10.743280551406315,"lon":106.63110598000384}
2024-07-11T09:59:49.531607278Z,{"lat":10.743277324373594,"lon":106.63112022923923}
2024-07-11T09:59:50.534192054Z,{"lat":10.743273845883778,"lon":106.63113556812203}
2024-07-11T09:59:51.533285277Z,{"lat":10.743272630507818,"lon":106.63114889534808}
2024-07-11T09:59:52.534216993Z,{"lat":10.74327351060765,"lon":106.63115836689866}
2024-07-11T09:59:53.543451537Z,{"lat":10.743276905278435,"lon":106.63116943101085}
2024-07-11T09:59:54.536319526Z,{"lat":10.74328180869179,"lon":106.6311820038656}
2024-07-11T09:59:55.554126687Z,{"lat":10.74328423944371,"lon":106.63119860003388}
2024-07-11T09:59:56.554263516Z,{"lat":10.7432839460771,"lon":106.63121410655475}
2024-07-11T09:59:57.55334179Z,{"lat":10.74328423944371,"lon":106.63122651177144}
2024-07-11T09:59:58.572170723Z,{"lat":10.74328231160598,"lon":106.63123162473238}
2024-07-11T09:59:59.563519019Z,{"lat":10.743281473415664,"lon":106.63123556422687}
2024-07-11T10:00:00.553071371Z,{"lat":10.743279000754228,"lon":106.63124520341552}
2024-07-11T10:00:01.553762813Z,{"lat":10.743276402364245,"lon":106.63126054229832}
2024-07-11T10:00:02.573470112Z,{"lat":10.743275815631023,"lon":106.63127521062887}
2024-07-11T10:00:03.573361606Z,{"lat":10.74327514507877,"lon":106.6312906333307}
2024-07-11T10:00:04.57342176Z,{"lat":10.743275689902475,"lon":106.63130739713705}
2024-07-11T10:00:05.573255775Z,{"lat":10.74327644427376,"lon":106.63132533440984}
2024-07-11T10:00:06.581298921Z,{"lat":10.743277953016332,"lon":106.63134310404456}
2024-07-11T10:00:07.574455011Z,{"lat":10.74327979703503,"lon":106.6313585267464}
2024-07-11T10:00:08.594356009Z,{"lat":10.743281766782275,"lon":106.63137646401918}
2024-07-11T10:00:09.609347819Z,{"lat":10.743283694620004,"lon":106.63139616149164}
2024-07-11T10:00:10.604547182Z,{"lat":10.743285412910154,"lon":106.63141292529798}
2024-07-11T10:00:11.604626177Z,{"lat":10.743287634114495,"lon":106.63143002438045}
2024-07-11T10:00:12.619365492Z,{"lat":10.743288304666748,"lon":106.6314483807484}
2024-07-11T10:00:13.613988186Z,{"lat":10.743287927481106,"lon":106.63146631802118}
2024-07-11T10:00:14.612305425Z,{"lat":10.743285915824345,"lon":106.63148358474172}
2024-07-11T10:00:15.633284177Z,{"lat":10.743285622457734,"lon":106.63150051618612}
2024-07-11T10:00:16.637535899Z,{"lat":10.743283317434361,"lon":106.6315189563731}
2024-07-11T10:00:17.63418506Z,{"lat":10.743280844772926,"lon":106.63153680982686}
2024-07-11T10:00:18.636091047Z,{"lat":10.743278707387617,"lon":106.63155273544288}
2024-07-11T10:00:19.637693939Z,{"lat":10.743275731811991,"lon":106.63156597884989}
2024-07-11T10:00:20.681390834Z,{"lat":10.743272965783945,"lon":106.63157980899013}
2024-07-11T10:00:21.674219499Z,{"lat":10.743268607194295,"lon":106.63159565078712}
2024-07-11T10:00:22.673123414Z,{"lat":10.74326320086675,"lon":106.63161107348895}
2024-07-11T10:00:23.674252479Z,{"lat":10.74325905182468,"lon":106.63162490362919}
2024-07-11T10:00:24.67415564Z,{"lat":10.74325519614922,"lon":106.63163772794104}
2024-07-11T10:00:25.673424487Z,{"lat":10.743251591930857,"lon":106.63165055225289}
2024-07-11T10:00:26.699390406Z,{"lat":10.743248783993295,"lon":106.63166471766925}
2024-07-11T10:00:27.711461992Z,{"lat":10.743246269422343,"lon":106.63168047564722}
2024-07-11T10:00:28.72133853Z,{"lat":10.743244090127519,"lon":106.63169749091065}
2024-07-11T10:00:29.714831006Z,{"lat":10.743243796760908,"lon":106.63171341652668}
2024-07-11T10:00:30.722564353Z,{"lat":10.743243293846717,"lon":106.63172749812401}
2024-07-11T10:00:31.741583658Z,{"lat":10.7432424556564,"lon":106.63173931660748}
2024-07-11T10:00:32.742521409Z,{"lat":10.743240611637702,"lon":106.63175289529062}
2024-07-11T10:00:33.744139362Z,{"lat":10.743237845609656,"lon":106.63176856944955}
2024-07-11T10:00:34.764099236Z,{"lat":10.743234828124514,"lon":106.63178198049462}
2024-07-11T10:00:35.765280504Z,{"lat":10.743231559182277,"lon":106.6317948886255}
2024-07-11T10:00:36.774501243Z,{"lat":10.743228835063746,"lon":106.63180838348961}
2024-07-11T10:00:37.784159445Z,{"lat":10.743227200592628,"lon":106.63182196217275}
2024-07-11T10:00:38.792512454Z,{"lat":10.743226236673763,"lon":106.63183595995105}
2024-07-11T10:00:39.785474895Z,{"lat":10.74322585948812,"lon":106.63184962245322}
2024-07-11T10:00:40.7845785Z,{"lat":10.743225817578605,"lon":106.63186378786958}
2024-07-11T10:00:41.78494221Z,{"lat":10.743225230845383,"lon":106.63187820474303}
2024-07-11T10:00:42.784500116Z,{"lat":10.743225105116835,"lon":106.63189169960714}
2024-07-11T10:00:43.803380718Z,{"lat":10.743223680193296,"lon":106.63190519447124}
2024-07-11T10:00:44.803476655Z,{"lat":10.743222464817336,"lon":106.63191843787826}
2024-07-11T10:00:45.81763509Z,{"lat":10.743220243612996,"lon":106.63193268711365}
2024-07-11T10:00:46.803398363Z,{"lat":10.743217729042044,"lon":106.63194467323518}
2024-07-11T10:00:47.79708641Z,{"lat":10.743215885023346,"lon":106.63195640789962}
2024-07-11T10:00:48.796726775Z,{"lat":10.743213370452395,"lon":106.6319711600492}
2024-07-11T10:00:49.822209003Z,{"lat":10.743210939700475,"lon":106.63198792385555}
2024-07-11T10:00:50.830188321Z,{"lat":10.743210604424348,"lon":106.63200460384286}
2024-07-11T10:00:51.822212822Z,{"lat":10.743210730152896,"lon":106.63202027800179}
2024-07-11T10:00:52.852280694Z,{"lat":10.743210562514832,"lon":106.63203494633234}
2024-07-11T10:00:53.853665179Z,{"lat":10.743210227238706,"lon":106.6320493632058}
2024-07-11T10:00:54.839985957Z,{"lat":10.74320997578161,"lon":106.63206704902149}
2024-07-11T10:00:55.834337636Z,{"lat":10.743209640505484,"lon":106.63208439956105}
2024-07-11T10:00:56.833987508Z,{"lat":10.743207922215333,"lon":106.63209948698676}
2024-07-11T10:00:57.84450983Z,{"lat":10.743205156187287,"lon":106.6321130656699}
